flight_id,primary,secondary,combined_code,confidence,valid,is_premature,burst_pres,launch_time,burst_height_m
520,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.81,True,False,10.7,2025-11-25 23:35:55+00:00,30330.0
521,Temperature KO,Cold Point Tropopause,TMP-CPT-UNK,0.91,True,True,225.9,2025-11-25 23:35:57+00:00,11691.0
522,Balloon Burst,Strong Shear,BUR-SHR-100,0.94,True,True,88.2,2025-11-26 11:47:08+00:00,17273.0
523,Balloon Burst,Strong Shear,BUR-SHR-100,0.79,True,True,81.4,2025-11-26 11:33:26+00:00,17745.0
524,Balloon Burst,Deep Convection,BUR-CNB-100,0.97,True,True,31.2,2025-11-26 11:28:31+00:00,23401.0
525,Balloon Burst,Strong Shear,BUR-SHR-100,0.98,True,False,16.3,2025-11-26 11:33:54+00:00,27622.0
526,Balloon Burst,Strong Shear,BUR-SHR-100,0.95,True,True,69.1,2025-11-26 11:35:36+00:00,18657.0
527,Balloon Burst,RH Freeze-out,BUR-FRZ-100,0.65,True,True,130.3,2025-11-26 11:40:33+00:00,15103.0
528,Ascent Stop,Unknown,ASC-UNK-UNK,0.0,False,True,713.7,2025-11-26 23:36:24+00:00,2967.0
530,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,13.1,2025-11-26 23:41:10+00:00,29204.0
531,Balloon Burst,Strong Shear,BUR-SHR-100,0.95,True,False,16.1,2025-11-26 23:32:53+00:00,27657.0
532,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,43.3,2025-11-26 23:36:21+00:00,21404.0
533,Ascent Stop,Strong Shear,ASC-SHR-UNK,0.94,True,True,54.9,2025-11-26 23:30:41+00:00,19997.0
534,Temperature KO,Cold Point Tropopause,TMP-CPT-UNK,0.91,True,True,177.2,2025-11-27 11:28:24+00:00,13227.0
535,Balloon Burst,Deep Convection,BUR-CNB-100,0.93,True,False,17.1,2025-11-27 11:32:15+00:00,27239.0
536,Balloon Burst,Deep Convection,BUR-CNB-100,0.99,True,False,18.0,2025-11-27 11:54:55+00:00,26874.0
537,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.75,True,False,12.2,2025-11-27 11:32:58+00:00,29522.0
539,Ascent Stop,Slow Ascent,ASC-ASN-UNK,0.96,True,True,154.3,2025-11-27 11:32:29+00:00,14134.0
540,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,49.1,2025-11-27 23:31:23+00:00,20629.0
541,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,15.1,2025-11-27 23:34:34+00:00,28140.0
542,Balloon Burst,Deep Convection,BUR-CNB-100,0.98,True,True,91.6,2025-11-27 23:38:50+00:00,17110.0
544,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.76,True,False,8.8,2025-11-27 23:35:26+00:00,31700.0
545,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,68.8,2025-11-28 00:14:00+00:00,18714.0
546,Balloon Burst,Cloud/Rain Layer,BUR-CLD-100,0.96,True,False,18.9,2025-11-28 23:40:57+00:00,26626.0
547,Balloon Burst,Strong Shear,BUR-SHR-100,0.93,True,True,64.7,2025-11-28 11:30:54+00:00,19058.0
548,Balloon Burst,Deep Convection,BUR-CNB-100,0.99,True,False,10.7,2025-11-28 23:56:40+00:00,30487.0
551,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,11.1,2025-11-28 11:32:46+00:00,30145.0
553,Ascent Stop,Unknown,ASC-UNK-UNK,0.0,False,True,526.3,2025-11-28 11:32:19+00:00,5452.0
555,Balloon Burst,RH Freeze-out,BUR-FRZ-100,0.62,True,True,118.6,2025-11-28 11:30:41+00:00,15637.0
556,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,14.9,2025-11-29 11:45:36+00:00,28165.0
557,Temperature KO,Unknown,TMP-UNK-UNK,0.0,False,True,397.3,2025-11-29 11:30:55+00:00,7653.0
559,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,48.9,2025-11-29 11:38:04+00:00,20694.0
560,Balloon Burst,RH Freeze-out,BUR-FRZ-100,0.77,True,True,135.0,2025-11-29 11:35:48+00:00,14873.0
561,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,57.6,2025-11-29 11:32:59+00:00,19696.0
562,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,14.6,2025-11-29 23:42:08+00:00,28233.0
563,Balloon Burst,Strong Shear,BUR-SHR-100,0.89,True,False,22.7,2025-11-29 23:38:20+00:00,25443.0
564,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,12.1,2025-11-29 23:37:18+00:00,29680.0
565,Balloon Burst,Strong Shear,BUR-SHR-100,0.81,True,False,28.1,2025-11-29 23:33:53+00:00,24099.0
566,Balloon Burst,Cloud/Rain Layer,BUR-CLD-100,0.87,True,False,9.3,2025-11-29 23:33:53+00:00,31253.0
567,Ascent Stop,Strong Shear,ASC-SHR-UNK,0.83,True,False,22.8,2025-11-29 23:34:19+00:00,25372.0
568,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,15.7,2025-11-30 11:31:08+00:00,27780.0
569,Temperature KO,Cold Point Tropopause,TMP-CPT-UNK,0.91,True,True,274.3,2025-11-30 11:40:38+00:00,10365.0
570,Balloon Burst,Strong Shear,BUR-SHR-100,0.94,True,False,10.7,2025-11-30 11:45:02+00:00,30397.0
571,Ascent Stop,RH Freeze-out,ASC-FRZ-UNK,0.62,True,True,104.2,2025-11-30 11:33:43+00:00,16388.0
575,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,13.5,2025-11-30 23:33:22+00:00,28828.0
576,Balloon Burst,Strong Shear,BUR-SHR-100,0.86,True,True,30.2,2025-11-30 23:43:40+00:00,23568.0
577,Balloon Burst,Strong Shear,BUR-SHR-100,0.78,True,False,12.1,2025-11-30 23:32:56+00:00,29565.0
578,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,8.5,2025-11-30 23:36:11+00:00,31934.0
579,Ascent Stop,Slow Ascent,ASC-ASN-UNK,0.98,True,True,46.3,2025-11-30 23:34:19+00:00,20505.0
580,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,15.7,2025-12-01 11:44:25+00:00,27759.0
581,Balloon Burst,Strong Shear,BUR-SHR-100,0.93,True,True,79.0,2025-12-01 11:35:39+00:00,17916.0
583,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,11.6,2025-12-01 11:33:26+00:00,29869.0
584,Balloon Burst,RH Freeze-out,BUR-FRZ-100,0.73,True,True,69.0,2025-12-01 11:35:33+00:00,18603.0
585,Ascent Stop,Unknown,ASC-UNK-UNK,0.0,False,True,41.7,2025-12-01 11:30:28+00:00,21598.0
586,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,13.0,2025-12-01 23:47:26+00:00,29085.0
587,Balloon Burst,Strong Shear,BUR-SHR-100,0.92,True,False,11.8,2025-12-01 23:33:08+00:00,29929.0
588,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,500.0,2025-12-01 23:59:55+00:00,5874.0
589,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,11.1,2025-12-01 23:38:45+00:00,30138.0
590,Ascent Stop,Slow Ascent,ASC-ASN-UNK,0.96,True,True,634.0,2025-12-01 23:35:40+00:00,3938.0
591,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,41.2,2025-12-01 23:30:35+00:00,21660.0
592,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,15.3,2025-12-02 11:44:53+00:00,27927.0
593,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,16.1,2025-12-02 11:32:02+00:00,27619.0
594,Balloon Burst,Deep Convection,BUR-CNB-100,0.96,True,False,16.2,2025-12-02 11:44:21+00:00,27589.0
595,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,43.5,2025-12-02 11:33:24+00:00,21354.0
596,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,14.9,2025-12-02 11:36:49+00:00,28062.0
597,Ascent Stop,Strong Shear,ASC-SHR-UNK,0.98,True,True,56.3,2025-12-02 11:30:42+00:00,19841.0
599,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,14.3,2025-12-02 23:32:29+00:00,28429.0
602,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,8.6,2025-12-02 23:36:14+00:00,31766.0
603,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,53.4,2025-12-02 23:34:49+00:00,20126.0
605,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,48.6,2025-12-03 11:44:41+00:00,20692.0
608,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,113.1,2025-12-03 11:30:46+00:00,15909.0
609,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,12.6,2025-12-03 23:47:53+00:00,29214.0
610,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,10.2,2025-12-03 23:34:42+00:00,30709.0
612,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,13.3,2025-12-03 23:32:48+00:00,28930.0
613,Balloon Burst,Cloud/Rain Layer,BUR-CLD-100,0.9,True,False,11.7,2025-12-03 23:36:18+00:00,29731.0
614,Ascent Stop,Unknown,ASC-UNK-UNK,0.0,False,True,36.5,2025-12-03 23:36:01+00:00,22422.0
616,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,66.9,2025-12-04 11:39:46+00:00,18836.0
617,Balloon Burst,Strong Shear,BUR-SHR-100,0.95,True,False,15.6,2025-12-04 11:41:28+00:00,27836.0
618,Balloon Burst,Cloud/Rain Layer,BUR-CLD-100,0.83,True,True,51.6,2025-12-04 11:35:30+00:00,20340.0
619,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,52.4,2025-12-04 11:35:29+00:00,20211.0
620,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,116.7,2025-12-04 11:30:36+00:00,15729.0
621,Balloon Burst,RH Freeze-out,BUR-FRZ-100,0.44,True,True,68.9,2025-12-05 11:30:30+00:00,18606.0
622,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,52.2,2025-12-04 23:38:12+00:00,20253.0
623,Temperature KO,Cold Point Tropopause,TMP-CPT-UNK,0.85,True,True,70.5,2025-12-05 11:34:13+00:00,18526.0
624,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.89,True,False,9.8,2025-12-04 23:31:46+00:00,30917.0
625,Ascent Stop,Deep Convection,ASC-CNB-UNK,0.95,True,True,45.4,2025-12-05 11:40:19+00:00,21082.0
626,Balloon Burst,Deep Convection,BUR-CNB-100,0.98,True,False,26.3,2025-12-04 23:53:24+00:00,24476.0
627,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,80.4,2025-12-05 11:32:22+00:00,17801.0
628,Balloon Burst,Strong Shear,BUR-SHR-100,0.94,True,False,12.0,2025-12-04 23:37:58+00:00,29597.0
629,Balloon Burst,RH Freeze-out,BUR-FRZ-100,0.75,True,True,116.1,2025-12-05 11:35:49+00:00,15711.0
631,Ascent Stop,Unknown,ASC-UNK-UNK,0.0,False,True,45.7,2025-12-05 11:30:42+00:00,21045.0
632,Balloon Burst,Strong Shear,BUR-SHR-100,1.0,True,True,57.6,2025-12-04 23:31:56+00:00,19679.0
633,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,17.2,2025-12-05 23:57:05+00:00,27133.0
634,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,448.1,2025-12-05 23:38:41+00:00,6733.0
635,Balloon Burst,Deep Convection,BUR-CNB-100,0.93,True,False,10.9,2025-12-05 23:36:18+00:00,30254.0
636,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,10.2,2025-12-05 23:37:03+00:00,30693.0
637,Balloon Burst,Cloud/Rain Layer,BUR-CLD-100,0.89,True,False,9.5,2025-12-05 23:37:41+00:00,31165.0
638,Ascent Stop,RH Freeze-out,ASC-FRZ-UNK,1.0,True,True,87.7,2025-12-05 23:36:30+00:00,17345.0
639,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,14.2,2025-12-06 23:49:31+00:00,28403.0
640,Balloon Burst,RH Freeze-out,BUR-FRZ-100,0.69,True,True,62.6,2025-12-06 11:29:54+00:00,19163.0
642,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.85,True,False,13.1,2025-12-06 11:31:02+00:00,28989.0
643,Balloon Burst,Deep Convection,BUR-CNB-100,0.96,True,True,73.2,2025-12-06 23:48:50+00:00,18338.0
644,Balloon Burst,Deep Convection,BUR-CNB-100,0.94,True,False,29.6,2025-12-06 11:40:21+00:00,23686.0
646,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,False,10.9,2025-12-06 11:36:19+00:00,30267.0
647,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.97,True,False,9.1,2025-12-06 23:35:26+00:00,31423.0
648,Balloon Burst,Unknown,BUR-UNK-100,0.0,False,True,67.8,2025-12-06 11:36:08+00:00,18721.0
649,Balloon Burst,Pressure Reversal,BUR-PRS-UNK,0.8,True,True,50.0,2025-12-06 23:30:56+00:00,20497.0
650,Ascent Stop,Unknown,ASC-UNK-UNK,0.0,False,True,35.2,2025-12-06 11:30:33+00:00,22640.0
651,Balloon Burst,Strong Shear,BUR-SHR-100,0.9,True,False,19.1,2025-12-07 11:57:01+00:00,26448.0
